Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
05/21/1981,"Pinarete Mountain, Mexico",23.634501,-102.552784,Lineas Aereas,Oaxaca - Puerto Escondido,Convair CV-440-11,20,20,0
05/22/1981,"Near Zumba, Ecuador",-4.8636128,-79.1336857,TAME,,de Havilland Canada DHC-6 Twin Otter 300,18,18,0
05/24/1981,"Near Guachala, Ecuador",0.394589,-79.404442,Military - Ecuadorean Air Force,Quito - Macara,Beech Super King Air 200/DHC6-Twin Otter,27,27,0
05/28/1981,"Avalon, California",33.3428193,-118.3282279,Shanair Inc. - Air Taxi,"Avalon, CA - Visalia, CA",Beechcraft 58,3,2,0
05/29/1981,"Cairo, Egypt",30.0444196,31.2357116,Military - Egyptian Air Force,,Lockheed C-130H Hercules,17,17,0
06/13/1981,"Ust-Barguzin, Russia",53.4123591,109.0339077,Aeroflot,Ulan - Severomuysk,Ilyushin Il-14,52,52,0
06/13/1981,"Hualien, Taiwan",23.9871589,121.6015714,Taiwan Airlines,,Britten-Norman BN-2A-8 Islander,2,2,0
06/17/1981,"Miraflores, Colombia",5.1954239,-73.1443219,Taxi Aéreo el Venado,,Douglas DC-3,12,2,0
06/26/1981,"Nailstone, England",52.6618289,-1.3835156,Dan Air Services,London - East Midlands,Hawker Siddeley HS-748,3,3,0
06/30/1981,"Muskegon, Michigan",43.2341813,-86.2483921,G & W Aviation,"Muskegon, MI - Pontiac, MI",Cessna 401,5,5,0
07/18/1981,"Near Yerevan, Armenia",40.1872023,44.515209,TAR,"Tehran, Iran - Larnaca, Cyprus",Canadair CL-44D4-6,4,4,0
07/20/1981,"Mogadishu, Somalia",2.0469343,45.3181623,Somali Airlines,Mogadishu- Hargeisa,Fokker F-27 Friendship 600RF,50,50,0
07/23/1981,"Kansas City, Kansas",39.1155314,-94.6267873,Air Taxi,"Kansas City, MO - York, NE",Beechcraft 58TC,4,4,0
07/24/1981,Madagascar,-18.766947,46.869107,Air Madagascar,,de Havilland Canada DHC-6 Twin Otter 300,19,19,0
07/25/1981,"Caruru, Colombia",1.0126327,-71.2965117,Transamazonica,,Douglas C-53D-DO,9,4,0
07/27/1981,"Chihuahua, Mexico",28.6333754,-106.0697945,Aeromexico,Monterey - Chihuahua,McDonnell Douglas DC-9-32,66,30,0
08-11-1981,"Skagway, Alaska",59.457178,-135.3145346,Skagway Air Service - Air Taxi,"Skagway, AK - Local",Piper PA-32,6,6,0
08/22/1981,"Near Sanyi, Miao-li, Taiwan",24.3892633,120.769476,Far Eastern Air Transport,Taipei - Kaohsiung,Boeing B-737-222,110,110,0
08/24/1981,"Near Zavitinsk, Russia",50.1134132,129.4460203,Aeroflot / Military - Russian Air Force,Komsomol'sk-na-Amure - Blagoveshchensk,Antonov AN-24RV / Soviet Air Force TU-16,32,31,0
